dni,nombre,apellidos,fechanacimiento,sexo,ciudadorigen
99627199,Isaura,Mate Lladó,2004-07-02,F,Cusco
39283525,Rico,Botella Morata,1992-12-03,M,Tacna
92266402,Nazaret,Gomila Díez,1943-01-30,F,Cusco
67504361,Gerardo,Falcón Royo,1933-09-30,M,Tacna
51397213,Dulce,Conesa Marín,1992-04-02,F,Huancayo
80039833,Maximiano,Valencia Cabanillas,1955-08-27,M,Chiclayo
91759127,Teodoro,Pardo Vives,2013-05-17,M,Lima
52641832,Emiliana,Piñeiro Bayona,1927-10-08,F,Arequipa
46046776,Cebrián,Sarabia Bayona,1937-04-03,M,Iquitos
25200310,Julián,Vara Suárez,1928-10-02,M,Chiclayo
21596157,Fernanda,Cobo Guardiola,2017-10-01,F,Arequipa
28007497,Ainoa,Bernat Parejo,1972-11-28,F,Cusco
45750231,Encarnación,Salvador Bertrán,1932-01-09,F,Huancayo
45921567,Zaira,Velasco Rosales,1963-01-14,F,Huancayo
46122001,José Ángel,Espinosa Medina,1983-12-19,M,Trujillo
71195623,Serafina,Español Alemany,1938-08-31,F,Chiclayo
50631386,Severino,Baeza Oliver,1974-01-30,M,Arequipa
69028325,Prudencio,Pozuelo Girón,1936-08-12,M,Tacna
23007171,Noemí,Sotelo Azcona,1938-11-13,F,Chiclayo
14480734,Efraín,Uribe Téllez,1942-08-12,M,Lima
04474552,Bartolomé,Zabaleta Segarra,1975-05-18,M,Puno
35665158,Cloe,Castells Catalán,1944-10-12,F,Cusco
04797037,Samu,Cuadrado Noguera,1984-06-27,M,Trujillo
23141577,Horacio,Cabañas Lopez,2008-09-29,M,Iquitos
66879651,Delia,Doménech Tello,1982-03-13,F,Iquitos
82596614,Mauricio,Rivas Hervia,1955-03-09,M,Iquitos
12412964,Martirio,Belda Manuel,2003-09-22,F,Cusco
23993657,Severiano,Céspedes Llanos,1982-04-10,M,Iquitos
30896332,Eugenio,Bernat Alba,1999-04-25,M,Cusco
45522135,Áurea,Castellanos Valls,2006-09-22,F,Trujillo
72553690,Saturnino,Salazar Cadenas,1948-12-04,M,Trujillo
99899335,Amaro,Valls Cervera,1967-06-12,M,Trujillo
01504087,Raimundo,Coca Larrea,1928-08-16,M,Iquitos
01094096,Toni,Ferrández Mesa,2008-12-11,M,Tacna
15519687,Ambrosio,Barrio Quesada,2020-10-17,M,Lima
60044566,Fito,Guillen Llopis,2015-12-14,M,Lima
48915185,Chelo,Arcos Tejedor,1955-05-27,F,Iquitos
43591069,Jordán,Mas Diaz,1972-03-29,M,Trujillo
34210592,Josefina,Fabra Solé,2010-12-24,F,Chiclayo
00819341,Aurora,Pedro Catalá,1937-11-04,F,Piura
54769320,Maricela,Soto Guardiola,2006-06-11,F,Trujillo
27987064,Chus,Jaume Alberola,1991-10-04,F,Cusco
17486814,Amador,Seco Adadia,1947-03-28,M,Piura
08930470,Jeremías,Palomar Hoyos,2009-07-08,M,Cusco
89410741,Gerardo,Vallés Ros,1952-10-07,M,Piura
58335409,Juan,Arenas Sevillano,1959-10-10,M,Iquitos
66000441,Julio César,Vergara Navas,1990-09-29,M,Tacna
11664704,Verónica,Garmendia Marco,1956-02-28,F,Iquitos
95891692,Milagros,Tejada Buendía,1932-12-15,F,Iquitos
63637339,Ramona,Palomino Palau,1997-09-21,F,Piura
72516088,Graciana,Galván Velázquez,1941-05-03,F,Huancayo
60469632,Valeria,Pizarro Izquierdo,1984-11-12,F,Piura
59827498,Jeremías,Pons Ángel,2023-01-15,M,Chiclayo
67255841,Manuela,Catalá Quirós,1944-12-21,F,Cusco
87809961,Flavio,Amorós Batlle,2000-06-13,M,Huancayo
82302601,Aníbal,Guardiola Ramos,1977-02-26,M,Cusco
16739851,Maricruz,Caparrós Andreu,1993-07-14,F,Trujillo
94883431,Bernabé,Fuertes Lasa,1942-08-24,M,Arequipa
37894900,Amador,Barco Avilés,2024-04-20,M,Chiclayo
02978673,Eugenia,Suarez Marcos,1955-04-21,F,Chiclayo
10374589,Reyes,Recio Aznar,2018-09-04,M,Cusco
38038063,Juan Manuel,Vendrell Priego,2012-08-09,M,Arequipa
35077114,Pepita,Mendez Mariño,1982-11-23,F,Puno
49859613,Dolores,Hernandez Fernandez,2003-01-28,F,Chiclayo
59684243,Clotilde,Arnal Sandoval,1971-01-19,F,Cusco
34138868,Fabiola,Coca Badía,1940-02-18,F,Trujillo
81285953,Aurora,Rocamora Durán,1992-06-14,F,Chiclayo
07150064,Maxi,Miralles Ripoll,1951-02-07,M,Trujillo
35946637,Margarita,Prieto Grau,2011-08-13,F,Iquitos
50039250,Pascual,González Álvaro,1997-01-19,M,Trujillo
84653398,Amparo,Escamilla Castro,2001-07-23,F,Iquitos
05088230,Marino,Rios Recio,2017-05-28,M,Cusco
54947322,Melchor,Milla Balaguer,1944-11-07,M,Arequipa
35682889,Silvio,Morcillo Sánchez,1964-03-14,M,Arequipa
51164427,Martina,Gallo Boix,1994-03-02,F,Huancayo
81758988,Porfirio,Padilla Ortiz,2018-02-06,M,Puno
09797911,Remedios,Galván Moles,1980-08-25,F,Puno
63951364,Blas,Mascaró Diego,1998-08-22,M,Puno
81316226,Víctor,Almeida Urrutia,2025-06-20,M,Arequipa
10065993,Filomena,Tenorio Valenzuela,2002-01-15,F,Lima
93730990,Rosenda,Olmo Leiva,1957-12-26,F,Piura
04192230,Celso,Clemente Nadal,2005-06-19,M,Trujillo
22955028,Juan,Lillo Caballero,2013-03-20,M,Arequipa
19128656,José Antonio,Vara Carretero,1977-08-27,M,Puno
02510104,Celia,Gual Vizcaíno,1997-01-11,F,Cusco
71214095,Constanza,Mariscal Cortina,1941-11-20,F,Piura
14296076,Malena,Guzmán Barba,1935-06-21,F,Puno
33718426,Santos,Garcés Boix,1944-01-18,M,Trujillo
15776393,Amor,Garzón Laguna,2007-08-08,F,Puno
96163713,Bonifacio,Badía Cueto,1952-10-30,M,Puno
74535687,Begoña,Arroyo Plaza,1975-11-24,F,Piura
18330730,Gustavo,Otero Aragón,1979-04-02,M,Chiclayo
12374996,Severo,Figueras Manso,1943-01-27,M,Huancayo
56766015,Chelo,Sedano Cabo,1928-01-03,F,Puno
86346441,Martina,Sans Ropero,1941-12-08,F,Puno
74702034,Renato,Lerma Jáuregui,1929-09-23,M,Iquitos
60398548,Miguel Ángel,Miranda Gonzalo,2012-11-07,M,Tacna
59733814,Diego,Sastre Diez,1948-10-21,M,Chiclayo
91975567,Encarnacion,Roselló Castañeda,2008-06-24,F,Trujillo
98920363,Ulises,Barroso Montes,2013-02-11,M,Trujillo
76476549,Sol,Alcalá Llorente,1966-08-03,F,Cusco
03769053,Priscila,Aguado Coloma,1983-09-05,F,Arequipa
38709675,Che,Sebastián Castellanos,1994-06-06,M,Trujillo
22254466,Salvador,Guardia Rosado,1946-05-07,M,Puno
21299156,Anna,Mayoral Olivera,1931-11-07,F,Piura
17199729,María Belén,Rocha Garay,1957-12-14,F,Piura
57945851,Florinda,Moreno Azcona,2012-02-21,F,Arequipa
